q,T,lam,best_E_node,best_D_node,best_J_node,E_rank,J_rank
1.0,0.1,17.78279410038923,6,6,6,"6,4,5,7,8","6,4,5,7,8"
1.0,0.1,31.622776601683793,6,6,6,"6,4,5,8,7","6,4,5,7,8"
1.0,0.1,56.23413251903491,6,6,6,"6,4,5,7,8","6,4,5,7,8"
1.0,0.1,100.0,6,6,6,"6,4,5,8,7","6,4,5,8,7"
1.0,0.1,177.82794100389228,6,6,6,"6,4,5,8,7","6,4,5,8,7"
1.0,0.1,316.22776601683796,6,6,6,"6,4,5,8,7","6,4,5,8,7"
1.0,0.1,562.341325190349,6,6,6,"6,4,5,7,8","6,4,5,7,8"
1.0,0.1,1000.0,6,6,6,"6,4,5,8,7","6,4,5,8,7"
1.0,0.1,1778.2794100389228,6,6,6,"6,4,5,8,7","6,4,5,8,7"
1.0,0.1,3162.2776601683795,6,6,6,"6,4,5,7,8","6,4,5,7,8"
1.0,0.1,5623.413251903491,6,6,6,"6,4,5,7,8","6,4,5,7,8"
1.0,0.1,10000.0,6,6,6,"6,4,5,8,7","6,4,5,7,8"
1.0,0.1,17782.794100389227,6,6,6,"6,4,5,7,8","6,4,5,7,8"
1.0,0.1,31622.776601683792,6,6,6,"6,4,5,7,8","6,4,5,7,8"
1.0,0.1,56234.13251903491,6,6,6,"6,4,5,7,8","6,4,5,7,8"
1.0,0.1,100000.0,6,6,6,"6,4,5,8,7","6,4,5,7,8"
1.0,0.1,177827.94100389228,6,6,6,"6,4,5,7,8","6,4,5,8,7"
1.0,0.1,316227.7660168379,6,6,6,"6,4,5,7,8","6,4,5,8,7"
1.0,0.1,562341.3251903491,6,6,6,"6,4,5,8,7","6,4,5,7,8"
1.0,0.1,1000000.0,6,6,6,"6,4,5,7,8","6,4,5,7,8"
1.0,1.0,0.0,4,4,4,"4,6,5,8,7","4,6,5,8,7"
1.0,1.0,0.0001,4,4,4,"4,6,5,8,7","4,6,5,8,7"
1.0,1.0,0.00017782794100389227,4,4,4,"4,6,5,7,8","4,6,5,7,8"
1.0,1.0,0.00031622776601683794,4,4,4,"4,6,5,7,8","4,6,5,7,8"
1.0,1.0,0.0005623413251903491,4,4,4,"4,6,5,8,7","4,6,5,8,7"
1.0,1.0,0.001,4,4,4,"4,6,5,7,8","4,6,5,7,8"
1.0,1.0,0.0017782794100389228,4,4,4,"4,6,5,7,8","4,6,5,7,8"
1.0,1.0,0.0031622776601683794,4,4,4,"4,6,5,7,8","4,6,5,7,8"
1.0,1.0,0.005623413251903491,4,4,4,"4,6,5,7,8","4,6,5,7,8"
1.0,1.0,0.01,4,4,4,"4,6,5,7,8","4,6,5,7,8"
1.0,1.0,0.01778279410038923,4,4,4,"4,6,5,7,8","4,6,5,7,8"
1.0,1.0,0.03162277660168379,4,4,4,"4,6,5,7,8","4,6,5,7,8"
1.0,1.0,0.05623413251903491,4,4,4,"4,6,5,7,8","4,6,5,7,8"
1.0,1.0,0.1,4,4,4,"4,6,5,7,8","4,6,5,7,8"
1.0,1.0,0.1778279410038923,4,4,4,"4,6,5,7,8","4,6,5,7,8"
1.0,1.0,0.31622776601683794,4,4,4,"4,6,5,7,8","4,6,5,7,8"
1.0,1.0,0.5623413251903491,4,4,4,"4,6,5,7,8","4,6,5,7,8"
1.0,1.0,1.0,4,4,4,"4,6,5,7,8","4,6,5,7,8"
1.0,1.0,1.7782794100389228,4,4,4,"4,6,5,8,7","4,6,5,8,7"
1.0,1.0,3.1622776601683795,4,4,4,"4,6,5,8,7","4,6,5,8,7"
1.0,1.0,5.623413251903491,4,4,4,"4,6,5,7,8","4,6,5,8,7"
1.0,1.0,10.0,4,4,4,"4,6,5,7,8","4,6,5,7,8"
1.0,1.0,17.78279410038923,4,4,4,"4,6,5,7,8","4,6,5,7,8"
1.0,1.0,31.622776601683793,4,4,4,"4,6,5,7,8","4,6,5,7,8"
1.0,1.0,56.23413251903491,4,4,4,"4,6,5,7,8","4,6,5,7,8"
1.0,1.0,100.0,4,4,4,"4,6,5,7,8","4,6,5,7,8"
1.0,1.0,177.82794100389228,4,4,4,"4,6,5,7,8","4,6,5,8,7"
1.0,1.0,316.22776601683796,4,4,4,"4,6,5,7,8","4,6,5,7,8"
1.0,1.0,562.341325190349,4,4,4,"4,6,5,7,8","4,6,5,7,8"
1.0,1.0,1000.0,4,4,4,"4,6,5,7,8","4,6,5,7,8"
1.0,1.0,1778.2794100389228,4,4,4,"4,6,5,8,7","4,6,5,7,8"
1.0,1.0,3162.2776601683795,4,4,4,"4,6,5,8,7","4,6,5,7,8"
1.0,1.0,5623.413251903491,4,4,4,"4,6,5,7,8","4,6,5,8,7"
1.0,1.0,10000.0,4,4,4,"4,6,5,7,8","4,6,5,8,7"
1.0,1.0,17782.794100389227,4,4,4,"4,6,5,8,7","4,6,5,7,8"
1.0,1.0,31622.776601683792,4,4,4,"4,6,5,7,8","4,6,5,7,8"
1.0,1.0,56234.13251903491,4,4,4,"4,6,5,7,8","4,6,5,8,7"
1.0,1.0,100000.0,4,4,4,"4,6,5,7,8","4,6,5,8,7"
1.0,1.0,177827.94100389228,4,4,4,"4,6,5,7,8","4,6,5,8,7"
1.0,1.0,316227.7660168379,4,4,4,"4,6,5,7,8","4,6,5,7,8"
1.0,1.0,562341.3251903491,4,4,4,"4,6,5,7,8","4,6,5,8,7"
1.0,1.0,1000000.0,6,4,4,"6,4,5,7,8","4,6,5,7,8"
1.0,3.0,0.0,4,4,4,"4,5,6,7,8","4,5,6,7,8"
1.0,3.0,0.0001,4,4,4,"4,5,6,7,8","4,5,6,7,8"
1.0,3.0,0.00017782794100389227,4,4,4,"4,5,6,8,7","4,5,6,8,7"
1.0,3.0,0.00031622776601683794,4,4,4,"4,5,6,7,8","4,5,6,7,8"
1.0,3.0,0.0005623413251903491,4,4,4,"4,5,6,7,8","4,5,6,7,8"
1.0,3.0,0.001,4,4,4,"4,5,6,8,7","4,5,6,8,7"
1.0,3.0,0.0017782794100389228,4,4,4,"4,5,6,8,7","4,5,6,8,7"
1.0,3.0,0.0031622776601683794,4,4,4,"4,5,6,8,7","4,5,6,8,7"
1.0,3.0,0.005623413251903491,4,4,4,"4,5,6,7,8","4,5,6,7,8"
1.0,3.0,0.01,4,4,4,"4,5,6,8,7","4,5,6,8,7"
1.0,3.0,0.01778279410038923,4,4,4,"4,5,6,7,8","4,6,5,7,8"
1.0,3.0,0.03162277660168379,4,4,4,"4,5,6,7,8","4,6,5,7,8"
1.0,3.0,0.05623413251903491,4,4,4,"4,5,6,8,7","4,6,5,8,7"
1.0,3.0,0.1,4,4,4,"4,5,6,8,7","4,6,5,8,7"
1.0,3.0,0.1778279410038923,4,4,4,"4,5,6,7,8","4,6,5,7,8"
1.0,3.0,0.31622776601683794,4,4,4,"4,5,6,8,7","4,6,5,8,7"
1.0,3.0,0.5623413251903491,4,4,4,"4,5,6,8,7","4,6,5,8,7"
1.0,3.0,1.0,4,4,4,"4,5,6,8,7","4,6,5,8,7"
1.0,3.0,1.7782794100389228,4,4,4,"4,6,5,7,8","4,6,5,7,8"
1.0,3.0,3.1622776601683795,4,4,4,"4,6,5,8,7","4,6,5,8,7"
1.0,3.0,5.623413251903491,4,4,4,"4,6,5,7,8","4,6,5,7,8"
1.0,3.0,10.0,4,4,4,"4,6,5,8,7","4,6,5,7,8"
1.0,3.0,17.78279410038923,4,4,4,"4,6,5,8,7","4,6,5,8,7"
1.0,3.0,31.622776601683793,4,4,4,"4,6,5,7,8","4,6,5,7,8"
1.0,3.0,56.23413251903491,4,4,4,"4,6,5,7,8","4,6,5,7,8"
1.0,3.0,100.0,4,4,4,"4,6,5,7,8","4,6,5,7,8"
1.0,3.0,177.82794100389228,4,4,4,"4,5,6,7,8","4,6,5,8,7"
1.0,3.0,316.22776601683796,4,4,4,"4,5,6,7,8","4,6,5,7,8"
1.0,3.0,562.341325190349,4,4,4,"4,5,6,7,8","4,6,5,7,8"
1.0,3.0,1000.0,4,4,4,"4,5,6,8,7","4,6,5,8,7"
1.0,3.0,1778.2794100389228,4,4,4,"4,5,6,8,7","4,6,5,7,8"
1.0,3.0,3162.2776601683795,4,4,4,"4,5,6,7,8","4,6,5,7,8"
1.0,3.0,5623.413251903491,4,4,4,"4,5,6,8,7","4,6,5,7,8"
1.0,3.0,10000.0,4,4,4,"4,5,6,7,8","4,6,5,7,8"
1.0,3.0,17782.794100389227,4,4,4,"4,5,6,8,7","4,6,5,7,8"
1.0,3.0,31622.776601683792,4,4,4,"4,5,6,8,7","4,6,5,8,7"
1.0,3.0,56234.13251903491,4,4,4,"4,5,6,8,7","4,6,5,8,7"
1.0,3.0,100000.0,4,4,4,"4,5,6,8,7","4,6,5,7,8"
1.0,3.0,177827.94100389228,4,4,4,"4,5,6,8,7","4,6,5,8,7"
1.0,3.0,316227.7660168379,4,4,4,"4,5,6,8,7","4,6,5,8,7"
1.0,3.0,562341.3251903491,4,4,4,"4,5,6,8,7","4,6,5,8,7"
1.0,3.0,1000000.0,4,4,4,"4,5,6,8,7","4,6,5,8,7"
2.0,0.1,0.0,6,6,6,"6,4,5,7,8","6,4,5,7,8"
2.0,0.1,0.0001,6,6,6,"6,4,5,8,7","6,4,5,8,7"
2.0,0.1,0.00017782794100389227,6,6,6,"6,4,5,7,8","6,4,5,7,8"
2.0,0.1,0.00031622776601683794,6,6,6,"6,4,5,8,7","6,4,5,8,7"
2.0,0.1,0.0005623413251903491,6,6,6,"6,4,5,8,7","6,4,5,8,7"
2.0,0.1,0.001,6,6,6,"6,4,5,8,7","6,4,5,8,7"
2.0,0.1,0.0017782794100389228,6,6,6,"6,4,5,7,8","6,4,5,7,8"
2.0,0.1,0.0031622776601683794,6,6,6,"6,4,5,8,7","6,4,5,8,7"
2.0,0.1,0.005623413251903491,6,6,6,"6,4,5,7,8","6,4,5,7,8"
2.0,0.1,0.01,6,6,6,"6,4,5,7,8","6,4,5,7,8"
2.0,0.1,0.01778279410038923,6,6,6,"6,4,5,8,7","6,4,5,8,7"
2.0,0.1,0.03162277660168379,6,6,6,"6,4,5,7,8","6,4,5,7,8"
2.0,0.1,0.05623413251903491,6,6,6,"6,4,5,8,7","6,4,5,8,7"
2.0,0.1,0.1,6,6,6,"6,4,5,7,8","6,4,5,7,8"
2.0,0.1,0.1778279410038923,6,6,6,"6,4,5,8,7","6,4,5,8,7"
2.0,0.1,0.31622776601683794,6,6,6,"6,4,5,7,8","6,4,5,7,8"
2.0,0.1,0.5623413251903491,6,6,6,"6,4,5,8,7","6,4,5,8,7"
2.0,0.1,1.0,6,6,6,"6,4,5,7,8","6,4,5,7,8"
2.0,0.1,1.7782794100389228,6,6,6,"6,4,5,7,8","6,4,5,7,8"
2.0,0.1,3.1622776601683795,6,6,6,"6,4,5,7,8","6,4,5,7,8"
2.0,0.1,5.623413251903491,6,6,6,"6,4,5,8,7","6,4,5,8,7"
2.0,0.1,10.0,6,6,6,"6,4,5,8,7","6,4,5,8,7"
2.0,0.1,17.78279410038923,6,6,6,"6,4,5,7,8","6,4,5,7,8"
2.0,0.1,31.622776601683793,6,6,6,"6,4,5,8,7","6,4,5,7,8"
2.0,0.1,56.23413251903491,6,6,6,"6,4,5,8,7","6,4,5,7,8"
2.0,0.1,100.0,6,6,6,"6,4,5,8,7","6,4,5,8,7"
2.0,0.1,177.82794100389228,6,6,6,"6,4,5,7,8","6,4,5,7,8"
2.0,0.1,316.22776601683796,6,6,6,"6,4,5,8,7","6,4,5,8,7"
2.0,0.1,562.341325190349,6,6,6,"6,4,5,7,8","6,4,5,7,8"
2.0,0.1,1000.0,6,6,6,"6,4,5,8,7","6,4,5,7,8"
2.0,0.1,1778.2794100389228,6,6,6,"6,4,5,7,8","6,4,5,7,8"
2.0,0.1,3162.2776601683795,6,6,6,"6,4,5,8,7","6,4,5,7,8"
2.0,0.1,5623.413251903491,6,6,6,"6,4,5,7,8","6,4,5,7,8"
2.0,0.1,10000.0,6,6,6,"6,4,5,7,8","6,4,5,8,7"
2.0,0.1,17782.794100389227,6,6,6,"6,4,5,8,7","6,4,5,8,7"
2.0,0.1,31622.776601683792,6,6,6,"6,4,5,7,8","6,4,5,7,8"
2.0,0.1,56234.13251903491,6,6,6,"6,4,5,8,7","6,4,5,7,8"
2.0,0.1,100000.0,6,6,6,"6,4,5,8,7","6,4,5,7,8"
2.0,0.1,177827.94100389228,6,6,6,"6,4,5,8,7","6,4,5,7,8"
2.0,0.1,316227.7660168379,6,6,6,"6,4,5,8,7","6,4,5,8,7"
2.0,0.1,562341.3251903491,6,6,6,"6,4,5,8,7","6,4,5,7,8"
2.0,0.1,1000000.0,6,6,6,"6,4,5,7,8","6,4,5,7,8"
2.0,1.0,0.0,4,6,4,"4,6,5,7,8","4,6,5,7,8"
2.0,1.0,0.0001,4,6,4,"4,6,5,7,8","4,6,5,7,8"
2.0,1.0,0.00017782794100389227,4,6,4,"4,6,5,8,7","4,6,5,8,7"
2.0,1.0,0.00031622776601683794,4,6,4,"4,6,5,7,8","4,6,5,7,8"
2.0,1.0,0.0005623413251903491,4,6,4,"4,6,5,7,8","4,6,5,7,8"
2.0,1.0,0.001,4,6,4,"4,6,5,8,7","4,6,5,8,7"
2.0,1.0,0.0017782794100389228,4,6,4,"4,6,5,8,7","4,6,5,8,7"
2.0,1.0,0.0031622776601683794,4,6,4,"4,6,5,7,8","4,6,5,7,8"
2.0,1.0,0.005623413251903491,4,6,4,"4,6,5,8,7","4,6,5,8,7"
2.0,1.0,0.01,4,6,4,"4,6,5,8,7","4,6,5,8,7"
2.0,1.0,0.01778279410038923,4,6,4,"4,6,5,8,7","4,6,5,8,7"
2.0,1.0,0.03162277660168379,4,6,4,"4,6,5,7,8","4,6,5,7,8"
2.0,1.0,0.05623413251903491,4,6,4,"4,6,5,8,7","4,6,5,8,7"
2.0,1.0,0.1,4,6,4,"4,6,5,8,7","4,6,5,8,7"
2.0,1.0,0.1778279410038923,4,6,4,"4,6,5,7,8","4,6,5,7,8"
2.0,1.0,0.31622776601683794,4,6,4,"4,6,5,8,7","4,6,5,8,7"
2.0,1.0,0.5623413251903491,4,6,6,"4,6,5,7,8","6,4,5,7,8"
2.0,1.0,1.0,4,6,6,"4,6,5,7,8","6,4,5,7,8"
2.0,1.0,1.7782794100389228,4,6,6,"4,6,5,8,7","6,4,5,8,7"
2.0,1.0,3.1622776601683795,4,6,6,"4,6,5,7,8","6,4,5,7,8"
2.0,1.0,5.623413251903491,4,6,6,"4,6,5,7,8","6,4,5,7,8"
2.0,1.0,10.0,4,6,6,"4,6,5,8,7","6,4,5,7,8"
2.0,1.0,17.78279410038923,4,6,6,"4,6,5,7,8","6,4,5,7,8"
2.0,1.0,31.622776601683793,6,6,6,"6,4,5,7,8","6,4,5,7,8"
2.0,1.0,56.23413251903491,6,6,6,"6,4,5,8,7","6,4,5,8,7"
2.0,1.0,100.0,4,6,6,"4,6,5,8,7","6,4,5,7,8"
2.0,1.0,177.82794100389228,4,6,6,"4,6,5,8,7","6,4,5,7,8"
2.0,1.0,316.22776601683796,4,6,6,"4,6,5,7,8","6,4,5,7,8"
2.0,1.0,562.341325190349,4,6,6,"4,6,5,8,7","6,4,5,8,7"
2.0,1.0,1000.0,4,6,6,"4,6,5,8,7","6,4,5,8,7"
2.0,1.0,1778.2794100389228,4,6,6,"4,6,5,8,7","6,4,5,8,7"
2.0,1.0,3162.2776601683795,4,6,6,"4,6,5,7,8","6,4,5,7,8"
2.0,1.0,5623.413251903491,4,6,6,"4,6,5,7,8","6,4,5,7,8"
2.0,1.0,10000.0,4,6,6,"4,6,5,8,7","6,4,5,8,7"
2.0,1.0,17782.794100389227,4,6,6,"4,6,5,8,7","6,4,5,7,8"
2.0,1.0,31622.776601683792,4,6,6,"4,6,5,8,7","6,4,5,7,8"
2.0,1.0,56234.13251903491,4,6,6,"4,6,5,8,7","6,4,5,7,8"
2.0,1.0,100000.0,4,6,6,"4,6,5,7,8","6,4,5,7,8"
2.0,1.0,177827.94100389228,4,6,6,"4,6,5,7,8","6,4,5,7,8"
2.0,1.0,316227.7660168379,4,6,6,"4,6,5,7,8","6,4,5,7,8"
2.0,1.0,562341.3251903491,6,6,6,"6,4,5,8,7","6,4,5,8,7"
2.0,1.0,1000000.0,6,6,6,"6,4,5,8,7","6,4,5,8,7"
2.0,3.0,0.0,4,6,4,"4,6,5,8,7","4,6,5,8,7"
2.0,3.0,0.0001,4,6,4,"4,6,5,8,7","4,6,5,8,7"
2.0,3.0,0.00017782794100389227,4,6,4,"4,6,5,8,7","4,6,5,8,7"
2.0,3.0,0.00031622776601683794,4,6,4,"4,6,5,7,8","4,6,5,7,8"
2.0,3.0,0.0005623413251903491,4,6,4,"4,6,5,7,8","4,6,5,7,8"
2.0,3.0,0.001,4,6,4,"4,6,5,8,7","4,6,5,8,7"
2.0,3.0,0.0017782794100389228,4,6,4,"4,6,5,8,7","4,6,5,8,7"
2.0,3.0,0.0031622776601683794,4,6,4,"4,6,5,7,8","4,6,5,7,8"
2.0,3.0,0.005623413251903491,4,6,4,"4,6,5,8,7","4,6,5,8,7"
2.0,3.0,0.01,4,6,4,"4,6,5,8,7","4,6,5,8,7"
2.0,3.0,0.01778279410038923,4,6,4,"4,6,5,8,7","4,6,5,8,7"
2.0,3.0,0.03162277660168379,4,6,4,"4,6,5,7,8","4,6,5,7,8"
2.0,3.0,0.05623413251903491,4,6,4,"4,6,5,8,7","4,6,5,8,7"
2.0,3.0,0.1,4,6,4,"4,6,5,8,7","4,6,5,8,7"
2.0,3.0,0.1778279410038923,4,6,4,"4,6,5,8,7","4,6,5,8,7"
2.0,3.0,0.31622776601683794,4,6,4,"4,6,5,7,8","4,6,5,7,8"
2.0,3.0,0.5623413251903491,4,6,4,"4,6,5,7,8","4,6,5,7,8"
2.0,3.0,1.0,4,6,4,"4,6,5,8,7","4,6,5,8,7"
2.0,3.0,1.7782794100389228,4,6,4,"4,6,5,8,7","4,6,5,8,7"
2.0,3.0,3.1622776601683795,4,6,6,"4,6,5,7,8","6,4,5,7,8"
2.0,3.0,5.623413251903491,4,6,6,"4,6,5,7,8","6,4,5,7,8"
2.0,3.0,10.0,4,6,6,"4,6,5,8,7","6,4,5,8,7"
2.0,3.0,17.78279410038923,4,6,6,"4,6,5,7,8","6,4,5,7,8"
2.0,3.0,31.622776601683793,4,6,6,"4,6,5,8,7","6,4,5,8,7"
2.0,3.0,56.23413251903491,4,6,6,"4,6,5,7,8","6,4,5,7,8"
2.0,3.0,100.0,4,6,6,"4,6,5,8,7","6,4,5,8,7"
2.0,3.0,177.82794100389228,4,6,6,"4,6,5,7,8","6,4,5,8,7"
2.0,3.0,316.22776601683796,4,6,6,"4,6,5,8,7","6,4,5,7,8"
2.0,3.0,562.341325190349,4,6,6,"4,6,5,7,8","6,4,5,7,8"
2.0,3.0,1000.0,4,6,6,"4,6,5,8,7","6,4,5,7,8"
2.0,3.0,1778.2794100389228,4,6,6,"4,6,5,8,7","6,4,5,8,7"
2.0,3.0,3162.2776601683795,4,6,6,"4,6,5,7,8","6,4,5,8,7"
2.0,3.0,5623.413251903491,4,6,6,"4,6,5,7,8","6,4,5,8,7"
2.0,3.0,10000.0,4,6,6,"4,6,5,7,8","6,4,5,7,8"
2.0,3.0,17782.794100389227,4,6,6,"4,6,5,7,8","6,4,5,8,7"
2.0,3.0,31622.776601683792,4,6,6,"4,6,5,7,8","6,4,5,8,7"
2.0,3.0,56234.13251903491,4,6,6,"4,6,5,8,7","6,4,5,8,7"
2.0,3.0,100000.0,4,6,6,"4,6,5,8,7","6,4,5,8,7"
2.0,3.0,177827.94100389228,4,6,6,"4,6,5,7,8","6,4,5,7,8"
2.0,3.0,316227.7660168379,4,6,6,"4,6,5,7,8","6,4,5,7,8"
2.0,3.0,562341.3251903491,4,6,6,"4,6,5,8,7","6,4,5,7,8"
2.0,3.0,1000000.0,4,6,6,"4,6,5,7,8","6,4,5,8,7"
